p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,hA0x,hA0y,hA0z,hA0xq,hA0yq,hA0zq,hA0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,t1x,t1y,t1z,t1xq,t1yq,t1zq,t1wq,t1xv,t1yv,t1zv,t1ct,t1run,t2x,t2y,t2z,t2xq,t2yq,t2zq,t2wq,t2xv,t2yv,t2zv,t2ct,t2run,t3x,t3y,t3z,t3xq,t3yq,t3zq,t3wq,t3xv,t3yv,t3zv,t3ct,t3run,t4x,t4y,t4z,t4xq,t4yq,t4zq,t4wq,t4xv,t4yv,t4zv,t4ct,t4run,cZxpos,cZy,cZz,time
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9994021,0,-0.03457709,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.482301E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.482052E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.478377E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.483575E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.478126E-22,False,False,0,0.2,0,3.293439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9990698,0,-0.04312264,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.468521E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.467756E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.464736E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.46979E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.463969E-22,False,False,0,0.2,0,3.313439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.998795,0,-0.04907795,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.455054E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.454551E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.451149E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.455543E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.450644E-22,False,False,0,0.2,0,3.333439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9985811,0,-0.05325153,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.441125E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.440882E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.4371E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.442387E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.436855E-22,False,False,0,0.2,0,3.353439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9984202,0,-0.05618828,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.427509E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.427268E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.423624E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.428767E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.422863E-22,False,False,0,0.2,0,3.373439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9983014,0,-0.05826084,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.414207E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.413708E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.409685E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.415201E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.409444E-22,False,False,0,0.2,0,3.393439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9982148,0,-0.05972652,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.400441E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.400202E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.396319E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.401689E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.395562E-22,False,False,0,0.2,0,3.413439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9981522,0,-0.06076453,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.387246E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.385975E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.383006E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.387714E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.382252E-22,False,False,0,0.2,0,3.433439
26.07043,1,-35.65813,0,-0.2156025,0,0.9764813,-47.3013,1,5.709852,0,-0.9981071,0,-0.06150046,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.373588E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.373097E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.36923E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.37483E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.368478E-22,False,False,0,0.2,0,3.453439
26.07043,1,-35.65813,0,-0.2143241,0,0.9767627,-47.3013,1,5.709852,0,-0.9980748,0,-0.06202259,-12.8102,0.5,-8.78507,0,0,0,1,0,0,6.359984E-22,False,False,-24.55889,0.5,-23.85386,0,0,0,1,0,0,6.359754E-22,False,False,10.43308,0.5,-7.546801,0,0,0,1,0,0,6.356025E-22,False,False,-16.28002,0.5,15.99538,0,0,0,1,0,0,6.361221E-22,False,False,-20.53752,0.5,-20.94372,0,0,0,1,0,0,6.355535E-22,False,False,0,0.2,0,3.473439
