p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,cZxpos,cZy,cZz,time
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.284609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.304609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.324609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.344609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.364609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.384609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.404609
17.60073,1,17.92952,0,0.7666544,0,0.64206,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.424609
17.60073,1,17.92952,0,0.7663742,0,0.6423944,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.444609
17.60073,1,17.92952,0,0.7663742,0,0.6423944,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.464609
17.60073,1,17.92952,0,0.7672144,0,0.6413907,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.48461
17.60073,1,17.92952,0,0.7705622,0,0.6373649,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.50461
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.52461
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.54461
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.56461
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.58461
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.604609
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.624609
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.644609
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.664609
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.684609
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.704609
17.60073,1,17.92952,0,0.7713958,0,0.6363556,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.724609
17.60073,1,17.92952,0,0.7716734,0,0.6360191,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.744609
17.60073,1,17.92952,0,0.7716734,0,0.6360191,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.764609
17.60073,1,17.92952,0,0.7730592,0,0.634334,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.784609
17.60073,1,17.92952,0,0.7791125,0,0.626884,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.804609
17.60073,1,17.92952,0,0.8039025,0,0.5947612,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.824609
17.60073,1,17.92952,0,0.8244167,0,0.5659834,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.844609
17.60073,1,17.92952,0,0.849473,0,0.5276322,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.864609
17.60073,1,17.92952,0,0.8890522,0,0.4578058,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.884609
17.60073,1,17.92952,0,0.9133992,0,0.4070652,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.904609
17.60073,1,17.92952,0,0.9429579,0,0.3329118,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.924609
17.60073,1,17.92952,0,0.9487624,0,0.3159903,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.944609
17.60073,1,17.92952,0,0.9495865,0,0.3135054,35.84415,0.5,4.697131,0,0,0,1,0,0,0,False,False,0,0.2,0,4.964609
