p0x,p0y,p0z,p0xq,p0yq,p0zq,p0wq,t0x,t0y,t0z,t0xq,t0yq,t0zq,t0wq,t0xv,t0yv,t0zv,t0ct,t0run,t1x,t1y,t1z,t1xq,t1yq,t1zq,t1wq,t1xv,t1yv,t1zv,t1ct,t1run,t2x,t2y,t2z,t2xq,t2yq,t2zq,t2wq,t2xv,t2yv,t2zv,t2ct,t2run,cZxpos,cZy,cZz,time
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,76.95541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,76.97541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,76.99541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.01541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.03542
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.05541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.07541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.09541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.11541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.13541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.15541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.17542
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.19541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.21542
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.23541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.25541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.27541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.29541
49.48544,1,2.529439,0,-0.7585286,0,0.6516397,-27.88919,0.5,7.626004,0,0,0,1,0,0,0,False,False,-7.563086,0.5,20.29498,0,0,0,1,0,0,0,False,False,29.04806,0.5,-7.470726,0,0,0,1,0,0,0,False,False,0,0.2,0,77.31541
